year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec,total,rate,pop
1957,12,21,16,25,29,28,32,31,29,20,28,25,296,8.174623208,3620962
1958,19,20,20,29,34,27,22,28,29,25,24,28,305,8.423175941,3620962
1959,26,26,15,20,25,26,42,41,27,26,28,29,331,9.141217168,3620962
1960,29,29,25,35,28,35,40,35,29,27,31,29,372,10.47768085,3550404
1961,31,19,36,27,38,38,29,38,31,21,26,28,362,10.19602276,3550404
1962,35,34,33,17,26,41,35,33,34,24,34,39,385,10.84383636,3550404
1963,22,23,29,25,24,36,28,39,43,32,34,26,361,10.16785695,3550404
1964,20,30,34,24,39,39,50,26,38,36,27,28,391,11.01283122,3550404
1965,31,25,34,36,27,27,40,50,27,33,27,38,395,11.12549445,3550404
1966,40,30,31,40,28,26,72,52,53,54,35,49,510,14.36456246,3550404
1967,48,41,50,42,41,52,49,37,50,49,43,50,552,15.54752642,3550404
1968,43,44,47,51,58,45,46,64,55,68,63,63,647,18.22327825,3550404
1969,39,37,45,63,71,61,68,67,68,60,66,71,716,20.16671906,3550404
1970,71,68,61,73,72,72,76,76,66,60,64,52,811,24.0870317,3366957
1971,54,61,61,82,71,81,69,71,67,79,60,68,824,24.47313702,3366957
1972,53,54,57,56,51,55,73,69,62,59,60,62,711,21.1169908,3366957
1973,63,68,81,63,79,80,93,76,73,49,69,70,864,25.66115338,3366957
1974,65,63,63,76,82,82,83,79,74,98,117,88,970,28.80939673,3366957
1975,75,62,73,59,71,68,76,57,71,54,84,68,818,24.29493457,3366957
1976,74,73,87,55,62,72,85,56,67,69,57,57,814,24.17613293,3366957
1977,53,72,68,62,65,60,66,81,97,68,65,66,823,24.44343661,3366957
1978,47,49,78,63,55,68,70,62,74,61,72,88,787,23.37422189,3366957
1979,63,62,84,64,71,77,76,82,58,95,67,58,857,25.45325052,3366957
1980,57,62,52,68,73,66,87,91,75,85,69,78,863,28.71811391,3005072
1981,67,64,71,53,72,82,84,97,69,71,68,79,877,29.18399293,3005072
1982,63,47,44,61,67,53,68,68,51,48,50,50,670,22.29563884,3005072
1983,53,50,57,48,56,56,78,79,69,62,60,61,729,24.25898614,3005072
1984,61,58,50,44,74,76,60,79,67,69,62,48,748,24.89125053,3005072
1985,46,49,48,53,43,52,77,64,66,52,48,69,667,22.19580762,3005072
1986,51,38,59,63,59,74,92,71,57,57,70,56,747,24.85797345,3005072
1987,52,44,45,59,66,61,48,66,64,58,49,80,692,23.02773444,3005072
1988,39,45,55,49,63,52,61,70,76,53,49,52,664,22.0959764,3005072
1989,57,60,55,62,54,68,59,58,63,72,69,72,749,24.9245276,3005072
1990,66,56,57,60,78,90,75,80,83,82,68,59,854,30.6783067,2783726
1991,76,56,69,74,66,82,81,122,84,75,69,75,928,33.33661431,2783726
1992,78,61,62,85,83,82,90,95,109,74,65,59,943,33.87546044,2783726
1993,65,59,58,69,50,72,99,86,84,71,79,64,855,30.71422978,2783726
1994,66,68,88,82,85,87,81,80,70,77,76,68,931,33.44438353,2783726
1995,65,54,66,60,75,73,72,83,72,77,61,72,828,29.74430673,2783726
1996,62,50,54,60,62,90,82,85,56,85,48,61,796,28.59476831,2783726
1997,61,40,49,64,52,67,77,78,68,79,60,66,761,27.33746066,2783726
1998,51,42,57,54,65,65,64,71,56,56,62,61,704,25.28984534,2783726
1999,55,38,41,52,60,71,55,71,55,44,57,43,643,23.09853772,2783726
2000,46,39,42,36,46,56,77,68,60,56,60,47,633,21.85761405,2896016
2001,41,27,37,59,42,67,77,58,70,72,64,49,667,23.20422115,2874477
2002,44,32,42,43,51,66,68,77,67,57,38,70,656,23.03964575,2847266
2003,39,30,53,57,60,51,68,48,52,52,51,43,601,21.31873207,2819117
2004,29,36,43,30,34,46,53,53,34,34,32,30,453,16.2581726,2786291
2005,20,24,37,36,43,50,59,54,32,39,29,30,451,16.38496754,2752523
2006,27,17,34,37,41,45,66,32,56,41,43,33,471,17.31502426,2720181
2007,26,22,41,36,35,47,45,47,49,38,29,34,448,16.56810248,2703991
2008,34,20,33,47,42,52,62,48,55,50,40,30,513,19.01860301,2697359
2009,25,25,20,40,47,45,57,49,43,37,37,37,460,17.05595019,2697006
2010,22,22,31,48,46,49,42,57,30,36,33,23,438,16.24871364,2695598
2011,28,24,23,30,38,46,55,36,39,45,37,38,436,16.11589249,2705404
2012,40,27,52,40,50,48,49,55,42,36,40,29,507,18.68008784,2714120
2013,40,13,16,25,48,43,48,50,41,32,29,39,422,15.52105696,2718887
2014,20,20,22,35,41,36,41,48,42,37,40,38,419,15.41274144,2718530
2015,30,20,34,35,48,47,53,52,65,31,40,36,489,18.02036854,2713596
2016,53,46,46,37,71,76,68,97,63,81,79,61,778,28.67044321,2713596
2017,52,49,40,48,59,85,78,53,60,59,37,40,660,24.32671217,2713067
2018,40,40,29,41,51,56,63,59,50,49,44,42,564,20.84261828,2705994
